,Cycle Indicator Global,Eurozone Retail Sales,Eurozone Industrial Production exconstr,Eurozone Industrial Production manuf,US Privately Owned Housing Starts,US HomeBuilders Market Index,US Indus Prod Index,US JoblessClaims Seasonally Adjusted,US U6 Unemp Rate,World EPS forecast 3M Change,US M1 Growth YOY,RealUS M1 Growth YOY,FED Excess Reserves,ECB Balance Sheet,Real Yield US,US 10yr Rate,Germany 10yr Rate,EU 10Y 2Y Curve,US 10Y 2Y Curve,Fed Fwd 6 Month,Fed Fwd 12 Month,Chinese Oil Imports,Japanese Export China,Industrial Metal Prices,US Core CPI,Inflation Surprise Global,US Breakeven Inflation,US PCE YOY, US Financial Conditions Index A, US Financial Conditions Index B, EU Financial Conditions Index A, EU Financial Conditions Index B,US IG Spreads,US HY Spreads,EU IG Spreads,EU HY Spreads,US Credit Standards,Global Equity 3 Month Momentum,Global Equity 6 Month Momentum,Global Equity 12 Month Momentum,Vix Index,Commercial Paper Spread,V2x Index,Eonia Spread,Equity Risk Premia,Sentiment Macro Fundamentals Global News Social,Sentiment Consumer Sentiment Global News Social,Sentiment Economic Growth Global News Social,Sentiment Trade Balance Global News Social,Sentiment environmental composite GLOBAL News,Sentiment social composite GLOBAL News,Sentiment governance composite GLOBAL News,Sentiment governance composite GLOBAL News Social,Sentiment social composite GLOBAL News Social,Sentiment environmental composite GLOBAL News Social,Idx_Price
Cycle Indicator Global,1.0,0.07168147503773147,0.19618388961962685,0.2476513048652662,0.47808751726823445,0.7462194790942951,0.41663738048703425,-0.4464127507948471,-0.597634526523991,0.718343954005749,-0.1483971240028039,-0.2858298064083551,0.16958954671233575,0.1583256632299746,0.007744857238020357,0.09845992173609257,-0.22887643461806778,-0.20275402705388332,-0.4640997564190142,0.3245515254844254,0.18609583292521265,0.3025258999194392,0.2714908659579179,-0.2615566677623021,0.06421164989463504,-0.15970618295986402,0.30330113808369363,0.24695029582705658,-0.6764666206612232,0.8545395419710248,-0.6242364375223465,0.8030998566876132,-0.819873357904703,-0.8440923561990581,-0.7797813312005234,-0.7667410806518254,-0.6392988329312634,0.34863103668995593,0.4931794299843492,0.6031052061494998,-0.7704144221711644,-0.5854372840850233,-0.6946191408254093,-0.1982880231101979,-0.37965575842601135,0.14642859915151651,0.3238749975627225,0.46643602997860034,0.3130841733627641,0.28752209722360156,-0.43379810317411976,-0.38404364687363757,-0.31213938525221924,-0.34048585251862123,0.31007872822561017,0.5837625579514466
Eurozone Retail Sales,0.07168147503773147,1.0,0.6480146880536896,0.7111095357337263,-0.14361397282164262,0.03988950762794627,0.5971037855585769,0.11180275322436563,-0.09636885592733681,0.019040985962927075,0.3251438294036572,0.2096822794186494,0.4557502695394082,0.7837195579694752,-0.5281387208848107,-0.5801713314205675,-0.6951654296131144,-0.3682869666268329,-0.3390590100171524,-0.20144006350647833,-0.349390424471487,-0.43361485973929,-0.24635321858486722,0.44897786704229437,-0.017714450124382837,-0.017937526165829804,-0.15282189448507458,0.08542908454841007,-0.1910129997079788,0.10322062790372058,0.2840972623501071,-0.0205035941457424,-0.18979405137805383,-0.21032750689241145,0.16304614991459254,-0.2665531009921043,0.008956450055651896,0.02890827388780368,0.044684627199825314,0.07061654000286778,-0.16913405262366166,0.13348481775026413,-0.3267214298987201,-0.5245006791499934,0.46969796168605366,-0.27264123944246466,-0.2718901964496442,-0.438854428874215,-0.23491323004995093,-0.5199150336893018,-0.5480004634455611,-0.10105132534461943,-0.3843214386773056,-0.6201069851223592,-0.4383057127957994,0.6165709895249611
Eurozone Industrial Production exconstr,0.19618388961962685,0.6480146880536896,1.0,0.9839447705506716,-0.21259964537174114,0.004566998762974178,0.7851314188804319,-0.34635876750669403,-0.46667957480538164,0.2173671533502118,-0.23960429075699732,-0.34318782031041933,0.09108701455737188,0.30116382080399917,-0.17574937525732817,-0.14474947276874137,-0.2822655130692862,-0.5367307266992025,-0.44577375338856673,0.19282846006223656,0.024024686852705028,-0.3373827272173233,-0.03829119734588954,0.49587788337915295,0.33996395776711213,0.3897015214474427,0.1777501676679263,0.5675294598456574,-0.31040995001032057,0.10665729880193303,0.04026750699131273,-0.005699473103648599,-0.3364659716558342,-0.32328343939056386,-0.07766304861823442,-0.33635571560236693,-0.1648131041603619,-0.1626183468557503,-0.055059096656976156,0.12468906352259801,-0.3208770816824617,0.3695408935260748,-0.40532015322266957,-0.029117241778004056,0.1807458818501265,-0.09218636735329425,-0.42145959309541275,-0.26880756620528196,-0.13378405813515984,-0.3222534819915071,-0.4814876780379517,-0.16027069061042135,-0.4016154172513903,-0.5578876989329569,-0.2395080447871176,0.43486598988686975
Eurozone Industrial Production manuf,0.2476513048652662,0.7111095357337263,0.9839447705506716,1.0,-0.13563475654388207,0.07351707172306363,0.8386689513197836,-0.31011573479736254,-0.4535998623580333,0.189672382709604,-0.16716499778971092,-0.2501230961602019,0.24434973570967497,0.44163777291800244,-0.27542496089360047,-0.26751683843151036,-0.4270304770074843,-0.5517531248574113,-0.46532608841651735,0.11273524111838223,-0.06892768828104381,-0.34717321765779297,-0.09482968645060764,0.4609452379403933,0.3192527784137804,0.3078770860307124,0.08400446031664668,0.47821691955607526,-0.36332382997425544,0.15755862621487862,0.019499522881918405,0.01833295777926872,-0.3337742175564386,-0.34777061554958333,-0.06530560573100869,-0.37215266050273876,-0.17403488543127574,-0.14374638119708869,-0.051514596347988106,0.12020845296444674,-0.3440866115986238,0.30557682276050346,-0.4303786119981439,-0.16102654502039682,0.25417822562028797,-0.18107352691364806,-0.3439722933550442,-0.3006812455387147,-0.17448027764147225,-0.355949952357858,-0.5647392707281783,-0.20381276941853643,-0.42717109873585035,-0.623999775499577,-0.28145733781447496,0.532563709779242
US Privately Owned Housing Starts,0.47808751726823445,-0.14361397282164262,-0.21259964537174114,-0.13563475654388207,1.0,0.47739946580755005,0.14275307617715646,-0.07058409171325643,0.07092259337282725,0.32569564230524545,0.08380501762445781,0.11313324036763414,0.4050715346080075,0.24535315417464687,-0.4544933614295661,-0.3680234107396078,-0.38556038102225393,0.24156691347628007,0.1167843108053998,-0.33747671426230713,-0.2528599933108807,-0.03367154299043457,0.09734406911756233,-0.3020518831367071,-0.1894656358204451,-0.3930527267306051,0.15042719563253548,-0.054439334615436936,-0.3665242211353899,0.5499613184173607,-0.18582436891288026,0.41779238123814955,-0.24962466843713738,-0.4164767373258396,-0.25247873595085013,-0.31647860501043656,-0.5724064684871779,0.1615627762371606,0.24918460186604935,0.36049452976222773,-0.4311108891828253,-0.6601092297944343,-0.233555021067006,-0.44693987563599324,0.17955444684665203,-0.03827233628865694,0.4989158273754414,0.28672479532554834,0.2302009970183131,0.08125373388105976,-0.15263399208569395,-0.122496391975505,0.12462568999234117,-0.04628631116483801,0.018356488076942935,0.126786221554996
US HomeBuilders Market Index,0.7462194790942951,0.03988950762794627,0.004566998762974178,0.07351707172306363,0.47739946580755005,1.0,0.20434993724585035,-0.11690107062105186,-0.6720458776235184,0.27504931315957937,0.11080188052589754,-0.12090552774824326,0.1163120116807033,0.20412989377808868,0.0805402491341835,0.043036005064362504,-0.21943270561329012,-0.2684768146833472,-0.43154158194723874,0.23074890757440045,0.29361709030296107,0.23163467947503297,0.2067455074652227,-0.6918552324244452,0.2223094455681829,-0.19753478680870906,-0.09294652384462398,0.1459264282401981,-0.4038346968523221,0.5612075628619172,-0.6122349472926246,0.6583681580052221,-0.5129346962552281,-0.5040025707659588,-0.7221654040112945,-0.4144403006024235,-0.19235655010840283,0.10241342780368842,0.1605404361949925,0.1882488504170144,-0.4244898846042844,-0.5177409010500768,-0.38428488991319915,-0.11678050351000319,-0.41086534793342333,-0.17337297381057945,0.062189234224589,0.15687397682031456,0.08582181386456961,0.47623996320365014,-0.39406412475968494,-0.5203929739305541,-0.44856262956747944,-0.27533433794248446,0.5002245206465062,0.4150685955387666
US Indus Prod Index,0.41663738048703425,0.5971037855585769,0.7851314188804319,0.8386689513197836,0.14275307617715646,0.20434993724585035,1.0,-0.3274190345092378,-0.34692514120220797,0.27885672721298416,-0.09632871343075639,-0.1163905187638229,0.49746937338680997,0.4870380833092473,-0.4826012163972138,-0.42293667939496615,-0.6066683244655469,-0.4888183950489196,-0.43360229810610834,-0.0038846788028890178,-0.2630150832074463,-0.2928544402431146,-0.2048918031524406,0.43350286730313087,0.1852867106636464,-0.016440911107679194,0.20206635108480503,0.37126794265277574,-0.5710927459891756,0.42211989314439974,-0.03515262358870688,0.2772817619848257,-0.4529547789543814,-0.5632985256040298,-0.18037268928482558,-0.6192109941102196,-0.42701731763776113,0.013995341085304687,0.12418884285717663,0.30294480224310044,-0.5767496565652545,0.08051125619223916,-0.6186754758907385,-0.38428121368135015,0.3154803920798629,-0.08170225600887926,0.017142934778008816,-0.03404659643820358,-0.05778190813132571,-0.46880944630938753,-0.5589635803663968,-0.003870496848762899,-0.16370934342358845,-0.6050179299078544,-0.3988697028896769,0.6878576559593299
US JoblessClaims Seasonally Adjusted,-0.4464127507948471,0.11180275322436563,-0.34635876750669403,-0.31011573479736254,-0.07058409171325643,-0.11690107062105186,-0.3274190345092378,1.0,0.4363679985475577,-0.476109598704961,0.7210552175055814,0.5698448801528683,0.11794533024572863,0.25958655881475134,-0.16626817480144837,-0.2592641815603606,-0.10995716201024197,-0.06555906946818613,0.06589698401456928,-0.2260899855703368,-0.18480725270529394,-0.02645376274879951,-0.10034692470157305,-0.00994568354504683,-0.18199022472379348,-0.11971798745842575,-0.33939041228200745,-0.2781069827660322,0.1216784640597082,-0.29995154457603146,0.24379315477209104,-0.21616413398323306,0.2982958614642057,0.29386905568565275,0.2585042516486726,0.23600253937458812,0.43354368957643513,-0.12029664202630944,-0.14159002292543912,-0.17295071649894742,0.4887060582937935,0.0675518235031721,0.37694644769425417,-0.09055857575974598,0.18439931820518696,-0.07662086682317734,-0.06907913910266644,-0.2544493644529761,-0.12542215809386847,-0.08971843304555707,0.24312447891125732,0.251993893613172,0.17022950823757899,0.2217322149287996,-0.11568718234519759,0.018921682441257696
US U6 Unemp Rate,-0.597634526523991,-0.09636885592733681,-0.46667957480538164,-0.4535998623580333,0.07092259337282725,-0.6720458776235184,-0.34692514120220797,0.4363679985475577,1.0,-0.26575670492203707,0.2794957139772747,0.5803150083214751,0.31215367520526566,0.09517159350693381,-0.49234943145658355,-0.45341699580899325,-0.15018695747884966,0.6317366272149016,0.7034210758781876,-0.703713094019334,-0.6673548678654786,-0.2534405583558947,-0.24170291210271655,0.3743606478571709,-0.648207840547791,-0.260478035167569,-0.02313749088170728,-0.5643146308072697,0.3452480375015068,-0.32917669033532143,0.6978420705829486,-0.4443728539845905,0.5365568465774838,0.4058728923121552,0.7227445324799356,0.3160108046814999,0.006184185062658456,0.05586953030682372,0.026624747696578493,-0.06332270382182978,0.32564101637016307,0.027636776863619202,0.36601824133924016,-0.38733619941866765,0.6204073038818747,0.07782500294886933,0.33574092192997496,-0.010611508855016548,0.04028672556521872,-0.48115775498878344,0.4481328232445681,0.5929321316059424,0.6488230416453993,0.37798739928066766,-0.5371189182243662,-0.3365720838200494
World EPS forecast 3M Change,0.718343954005749,0.019040985962927075,0.2173671533502118,0.189672382709604,0.32569564230524545,0.27504931315957937,0.27885672721298416,-0.476109598704961,-0.26575670492203707,1.0,-0.2463173268445811,-0.3606578530587197,-0.06812780130562684,-0.07580677644987696,-0.006165951899248478,0.21932540306337556,0.027806811118364066,0.041467412255447,-0.18606714272813393,0.28643784567763486,0.11705985478220061,0.23563703346749623,0.3956176878360788,0.17268626221324254,-0.15088949522655729,0.10040905250930171,0.7219672985964944,0.3768111234855129,-0.596852684998886,0.7172436419364447,-0.27732799316457607,0.6555151794118926,-0.8111183230062949,-0.8030761912310099,-0.6059898426681603,-0.7266521216807618,-0.7089154856366956,0.46131963367549794,0.7091693337906745,0.8251255809910707,-0.733038419278194,-0.39041550936847563,-0.6695434997434909,-0.0568071437406748,-0.32052732371626297,0.5140022661577581,0.28248100222372435,0.5889994623267992,0.5611200536057958,0.11898209997167503,-0.16110252042012352,-0.03457797958970069,-1.0659223827737585e-05,-0.1429730468197947,0.1557742194937578,0.3320448397526356
