,0
0,Date
1,Cycle Indicator Global
2,Eurozone Retail Sales
3,Eurozone Industrial Production exconstr
4,Eurozone Industrial Production manuf
5,US Privately Owned Housing Starts
6,US HomeBuilders Market Index
7,US Real Personal Income
8,US Real Personal Income exTrans
9,US Indus Prod Index
10,Adv Retail Sales US exFood Services
11,US JoblessClaims Seasonally Adjusted
12,US U6 Unemp Rate
13,World EPS forecast 3M Change
14,US M1 Growth YOY
15,RealUS M1 Growth YOY
16,FED Excess Reserves
17,Fed Balance Sheet
18,ECB Balance Sheet
19,Real Yield US
20,US 10yr Rate
21,Germany 10yr Rate
22,EU 10Y 2Y Curve
23,US 10Y 2Y Curve
24,Fed Fwd 6 Month
25,Fed Fwd 12 Month
26,Chinese Oil Imports
27,Japanese Export China
28,Industrial Metal Prices
29,US Core CPI
30,Inflation Surprise Global
31,US Breakeven Inflation
32,US PCE YOY
33, US Financial Conditions Index A
34, US Financial Conditions Index B
35, EU Financial Conditions Index A
36, EU Financial Conditions Index B
37,US IG Spreads
38,US HY Spreads
39,EU IG Spreads
40,EU HY Spreads
41,US Credit Standards
42,Global Equity 3 Month Momentum
43,Global Equity 6 Month Momentum
44,Global Equity 12 Month Momentum
45,Vix Index
46,Commercial Paper Spread
47,V2x Index
48,Eonia Spread
49,Equity Risk Premia
50,Sentiment Macro Fundamentals Global News Social
51,Sentiment Consumer Sentiment Global News Social
52,Sentiment Economic Growth Global News Social
53,Sentiment Trade Balance Global News Social
54,Sentiment environmental composite GLOBAL News
55,Sentiment social composite GLOBAL News
56,Sentiment governance composite GLOBAL News
57,Sentiment governance composite GLOBAL News Social
58,Sentiment social composite GLOBAL News Social
59,Sentiment environmental composite GLOBAL News Social
