Date,Cycle Indicator Global,Eurozone Retail Sales,Eurozone Industrial Production exconstr,Eurozone Industrial Production manuf,US Privately Owned Housing Starts,US HomeBuilders Market Index,US Real Personal Income,US Real Personal Income exTrans,US Indus Prod Index,Adv Retail Sales US exFood Services,US JoblessClaims Seasonally Adjusted,US U6 Unemp Rate,World EPS forecast 3M Change,US M1 Growth YOY,RealUS M1 Growth YOY,FED Excess Reserves,Fed Balance Sheet,ECB Balance Sheet,Real Yield US,US 10yr Rate,Germany 10yr Rate,EU 10Y 2Y Curve,US 10Y 2Y Curve,Fed Fwd 6 Month,Fed Fwd 12 Month,Chinese Oil Imports,Japanese Export China,Industrial Metal Prices,US Core CPI,Inflation Surprise Global,US Breakeven Inflation,US PCE YOY,US Financial Conditions Index A,US Financial Conditions Index B,EU Financial Conditions Index A,EU Financial Conditions Index B,US IG Spreads,US HY Spreads,EU IG Spreads,EU HY Spreads,US Credit Standards,Global Equity 3 Month Momentum,Global Equity 6 Month Momentum,Global Equity 12 Month Momentum,Vix Index,Commercial Paper Spread,V2x Index,Eonia Spread,Equity Risk Premia,Sentiment Macro Fundamentals Global News Social,Sentiment Consumer Sentiment Global News Social,Sentiment Economic Growth Global News Social,Sentiment Trade Balance Global News Social,Sentiment environmental composite GLOBAL News,Sentiment social composite GLOBAL News,Sentiment governance composite GLOBAL News,Sentiment governance composite GLOBAL News Social,Sentiment social composite GLOBAL News Social,Sentiment environmental composite GLOBAL News Social
1/31/2000,0.8,89.8,91.4,89.6,-1.5,71,"9,198.90","8,026.00",90.6,"243,994.90",287.6,7.2,0.4,2,0,13.6,"594,206.70",745.3,4.2,6.2,5.1,122.7,20.8,5.8,5.2,1.2,0,115.7,2,-2.9,1.9,1.4,98.5,-0.1,98.9,0.1,200.5,3.6,0,0.1,7.1,0,0.1,0.2,23.2,58.5,26.2,2.9,1.4,0.7,0.9,1.4,0.1,0.3,0.1,0.5,1,0.3,0.1
2/29/2000,0.8,90,91.7,89.8,-2.9,70.4,"9,260.60","8,085.40",90.9,"245,984.40",289.5,7.2,0.6,1.8,0,13.2,"591,664.50",748.7,4.3,6.3,5.2,118.6,12.7,5.9,5.2,1.5,-0.1,117.7,2,-0.6,2,1.4,98.5,0,98.7,0.1,194.3,3.6,0,0.1,7.6,0,0.1,0.2,23.3,49.8,27.3,3,1.4,0.7,0.8,1.5,0.1,0.3,0,0.6,1.2,0.3,0.1
3/31/2000,0.9,90.3,91.8,89.8,-0.9,69.7,"9,310.30","8,133.70",91.3,"248,540.80",285.2,7.1,0.7,1.5,0,13.3,"588,879.50",754.6,4.3,6.3,5.3,108.8,0.3,6.1,5.2,1.8,0,118.8,2.1,1.5,2,1.5,98.5,0.1,98.5,0.2,200,3.7,0,0.1,7.6,0,0.1,0.2,23.2,41.8,27.7,3.1,1.4,0.6,0.6,1.4,0,0.2,-0.1,0.7,1.2,0.2,0
4/30/2000,0.9,90.5,92.2,90.3,-2.4,68.1,"9,358.60","8,177.80",91.6,"251,236.00",280.6,7.1,0.9,1.5,0,13.5,"590,164.30",760.3,4.2,6.2,5.3,100.5,-11.1,6.2,5.2,1.5,0,118.1,2.2,4.1,2,1.6,98.5,0,98.3,0.2,210.9,3.7,0,0.1,7.6,0,0.1,0.2,24.2,41.1,27.9,3.3,1.4,0.3,0.7,1,-0.1,0.4,-0.4,0.6,1.1,-0.1,0.2
5/31/2000,0.9,90.8,92.6,90.7,-0.4,66.6,"9,401.10","8,209.40",92,"252,200.60",281.2,7.1,1,1.1,0,13.8,"589,079.50",765.1,4.2,6.3,5.3,84.1,-18.6,6.4,5.2,1.3,0,118.9,2.2,5.8,2.1,1.6,98.7,-0.3,98.2,0.2,221.8,3.7,0,0.2,11.6,0,0.1,0.2,24.8,50.1,27.9,3.5,1.4,0.2,0.5,0.6,-0.1,0.3,-0.5,0.4,1.1,-0.2,0
6/30/2000,0.8,91.2,93.2,91.3,-0.9,65.6,"9,437.70","8,241.80",92.4,"253,093.30",283.1,7.1,1,0.9,0,13.6,"588,471.60",771.3,4.2,6.2,5.3,67.2,-23.9,6.6,5.2,1,0.1,118.5,2.3,6.1,2.1,1.7,98.7,-0.4,98.2,0.1,226.9,3.8,0,0.2,11.6,0,0,0.1,23.8,60.4,26.5,3.7,1.4,0.3,0.6,0.6,-0.1,0.2,-0.4,0.4,1.1,-0.1,0
7/31/2000,0.7,91.3,94,92.1,-0.7,63.4,"9,476.90","8,277.30",92.7,"253,921.80",286.3,7,1,0.7,0,13.6,"587,305.70",777.5,4.2,6.2,5.3,53.1,-25.1,6.6,5.2,1,0.2,119.2,2.3,6.4,2.1,1.7,98.7,-0.4,98.2,0.2,227.7,3.8,0,0.2,11.6,0,0,0.1,22.7,57.5,25,3.9,1.4,0.3,0.7,0.7,0,0.3,-0.5,0.3,0.9,-0.1,0.1
8/31/2000,0.7,91.5,94.2,92.4,-4,62.2,"9,516.30","8,311.70",92.8,"254,893.60",292.3,7.1,0.9,0.5,0,13.6,"586,105.60",781.6,4.1,6.1,5.2,37.8,-29.4,6.6,5.2,1.1,0.2,120.3,2.4,7.9,2,1.7,98.7,-0.2,98.2,0.1,232.6,4.2,0.1,1.5,14.3,0,0,0.1,21.3,49.7,23.7,4.1,1.4,0.1,0.6,0.6,-0.1,0.5,-0.4,0.1,0.6,-0.1,0.3
9/30/2000,0.7,91.6,94.7,92.9,-4.7,61.5,"9,546.20","8,337.80",92.9,"255,600.50",296.9,7,0.7,0.5,0,13.6,"586,234.90",788.7,4.1,6,5.2,31.5,-28.8,6.6,5.2,1,0.2,122.7,2.4,7,1.9,1.8,98.8,-0.2,98.1,0.1,238.8,4.7,0.3,3.1,14.3,0,0,0.1,20.9,47.5,23.1,4.2,1.4,0.1,0.4,0.2,-0.2,0.4,-0.4,0.1,0.5,-0.2,0.2
10/31/2000,0.7,91.8,95,93.2,-5.6,61.1,"9,566.90","8,355.50",93,"256,800.70",297.6,7,0.4,0.2,0,13.6,"586,356.00",796.8,4.1,5.9,5.2,27.5,-25.3,6.5,5.2,0.9,0.3,122.3,2.5,7.9,1.9,1.8,99,-0.3,98.1,-0.1,245.2,5.3,0.4,5,14.3,0,0,0.1,22.2,42.8,24,4.4,1.5,-0.1,0.3,0,-0.2,0.4,-0.3,0.3,0.7,0,0.2
